"term","estimate","std.error","statistic","p.value","Response","Predictor","p_adj_BH","sig"
"nutrint",-24.3608303454386,35.6946785450153,-0.6824779305609,0.496220095464827,"biomass_kg_ha","nutrint",0.718755287230353,""
"crypto5LR",205.296478792168,30.59868019522,6.70932463368921,6.35802637217949e-10,"biomass_kg_ha","crypto5LR",3.81481582330769e-09,"***"
"crypto5BRout",-41.7897107645379,35.5631362909592,-1.17508507749812,0.242230435023988,"biomass_kg_ha","crypto5BRout",0.718755287230353,""
"sst_sd_6_year_mean",12.9015695955121,35.7432737385167,0.360950977515231,0.718755287230353,"biomass_kg_ha","sst_sd_6_year_mean",0.718755287230353,""
"sst_q90_6_year_mean",-14.4312133256872,35.7385184858383,-0.403799987719293,0.687060979455588,"biomass_kg_ha","sst_q90_6_year_mean",0.718755287230353,""
"sst_mean_6_year_mean",-14.5782804036376,35.7380332119656,-0.407920612675367,0.684041135831355,"biomass_kg_ha","sst_mean_6_year_mean",0.718755287230353,""
"nutrint",3.79135324060578,13.9709293439816,0.271374448131398,0.78655797923037,"abundance_ind_250m2","nutrint",0.78655797923037,""
"crypto5LR",33.2786054962692,13.6491738288844,2.43814064598144,0.0161921168168349,"abundance_ind_250m2","crypto5LR",0.0242881752252524,"*"
"crypto5BRout",-7.74573883376604,13.9576486295342,-0.554945824999218,0.579939503191008,"abundance_ind_250m2","crypto5BRout",0.69592740382921,""
"sst_sd_6_year_mean",-37.247154022584,13.565561515371,-2.74571413651986,0.00694399756778191,"abundance_ind_250m2","sst_sd_6_year_mean",0.0138879951355638,"*"
"sst_q90_6_year_mean",37.7982311255009,13.5531632198698,2.78888629261738,0.00613086722010647,"abundance_ind_250m2","sst_q90_6_year_mean",0.0138879951355638,"*"
"sst_mean_6_year_mean",38.0227107501336,13.5480573217988,2.80650648628089,0.00582469879093464,"abundance_ind_250m2","sst_mean_6_year_mean",0.0138879951355638,"*"
"nutrint",1.03337888623895e-13,2.37752445045048e-12,0.0434644903880232,0.965401751381119,"FRic","nutrint",0.965401751381119,""
"crypto5LR",1.16534057582334e-12,2.37521968020866e-12,0.4906243348914,0.624566308687829,"FRic","crypto5LR",0.936849463031743,""
"crypto5BRout",-3.45428956999267e-13,2.37733868865553e-12,-0.145300692176351,0.88471130510015,"FRic","crypto5BRout",0.965401751381119,""
"sst_sd_6_year_mean",-5.25865854979043e-12,2.32978200943376e-12,-2.25714617440475,0.0257632313396542,"FRic","sst_sd_6_year_mean",0.0745571725495228,"."
"sst_q90_6_year_mean",4.9181528049201e-12,2.33582042957305e-12,2.10553548665514,0.0372785862747614,"FRic","sst_q90_6_year_mean",0.0745571725495228,"."
"sst_mean_6_year_mean",5.05902127175158e-12,2.33337320208815e-12,2.16811492787533,0.0320753101872313,"FRic","sst_mean_6_year_mean",0.0745571725495228,"."
"nutrint",-0.00237759551131481,0.00511566751015858,-0.464767404565178,0.642919722577243,"FEve","nutrint",0.642919722577243,""
"crypto5LR",0.00531882914279901,0.00509764784601816,1.04338889296828,0.29881457074262,"FEve","crypto5LR",0.358577484891144,""
"crypto5BRout",0.00729016939861706,0.00507778762537725,1.43569797251523,0.153626546966659,"FEve","crypto5BRout",0.307253093933317,""
"sst_sd_6_year_mean",0.0057062901436189,0.00509424022305599,1.12014547680591,0.264834220351228,"FEve","sst_sd_6_year_mean",0.358577484891144,""
"sst_q90_6_year_mean",-0.00954185080580603,0.00504735517538495,-1.89046549613547,0.0610485909369949,"FEve","sst_q90_6_year_mean",0.266305471935751,""
"sst_mean_6_year_mean",-0.00868048125455133,0.00505998076474327,-1.71551665078153,0.0887684906452504,"FEve","sst_mean_6_year_mean",0.266305471935751,""
