"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","Response","Predictor"
0.00377251202979903,-0.00432689844150347,397.47911829122,0.465776125702687,0.496220095464828,1,-924.502030294191,1855.00406058838,1863.48900180029,19432726.8857405,123,125,"biomass_kg_ha","nutrint"
0.267922668311233,0.261970820086121,340.732482281157,45.0150370402287,6.3580263721798e-10,1,-905.246437774407,1816.49287554881,1824.97781676072,14280130.8112219,123,125,"biomass_kg_ha","crypto5LR"
0.0111015901368396,0.00306176566640737,396.014325742539,1.38082493935876,0.242230435023988,1,-924.040528619674,1854.08105723935,1862.56599845126,19289763.5817781,123,125,"biomass_kg_ha","crypto5BRout"
0.00105811180024224,-0.00706336696560927,398.020251464384,0.130285608169201,0.718755287230353,1,-924.672091163251,1855.3441823265,1863.82912353841,19485674.8308199,123,125,"biomass_kg_ha","sst_sd_6_year_mean"
0.00132389076283152,-0.00679542719844606,397.967299211585,0.163054430082102,0.687060979455588,1,-924.655460170458,1855.31092034092,1863.79586155282,19480490.4627369,123,125,"biomass_kg_ha","sst_q90_6_year_mean"
0.00135101153635081,-0.00676808593083322,397.961895430436,0.166399226245447,0.684041135831355,1,-924.653762852032,1855.30752570406,1863.79246691597,19479961.436394,123,125,"biomass_kg_ha","sst_mean_6_year_mean"
0.00059837418191754,-0.00752684228814804,155.573685034074,0.0736440910986217,0.786557979230369,1,-807.249165045431,1620.49833009086,1628.98327130277,2976990.09143501,123,125,"abundance_ind_250m2","nutrint"
0.0461014501225075,0.0383461773592758,151.990767253069,5.94452980958685,0.0161921168168346,1,-804.336702435629,1614.67340487126,1623.15834608316,2841446.77961174,123,125,"abundance_ind_250m2","crypto5LR"
0.00249752616558086,-0.00561225004445509,155.425797256847,0.307964868684063,0.579939503191008,1,-807.130283988713,1620.26056797743,1628.74550918933,2971332.94970997,123,125,"abundance_ind_250m2","crypto5BRout"
0.0577524665518936,0.0500919174994701,151.059699934123,7.53894611948499,0.00694399756778189,1,-803.56862059014,1613.13724118028,1621.62218239219,2806741.05213502,123,125,"abundance_ind_250m2","sst_sd_6_year_mean"
0.0594740207710368,0.0518274680943787,150.92163835842,7.77788675314908,0.00613086722010648,1,-803.454324135512,1612.90864827102,1621.39358948293,2801612.93374912,123,125,"abundance_ind_250m2","sst_q90_6_year_mean"
0.0601825380567202,0.0525417456831976,150.864781483779,7.87647865753673,0.00582469879093462,1,-803.407223875547,1612.81444775109,1621.299388963,2799502.42193425,123,125,"abundance_ind_250m2","sst_mean_6_year_mean"
1.53588041416472e-05,-0.00811459762834499,2.64749918139504e-11,0.00188916192469059,0.965401751381119,1,2867.99333642508,-5729.98667285016,-5721.50173163825,8.6213798560495e-20,123,125,"FRic","nutrint"
0.00195318765703653,-0.0061610140693289,2.64493269787166e-11,0.240712237987629,0.624566308687829,1,2868.11457009341,-5730.22914018683,-5721.74419897492,8.60467284081291e-20,123,125,"FRic","crypto5LR"
0.000171615186643423,-0.00795707086874975,2.64729232581466e-11,0.0211122911469267,0.88471130510015,1,2868.00310336209,-5730.00620672417,-5721.52126551227,8.62003268973016e-20,123,125,"FRic","crypto5BRout"
0.0397729843665233,0.0319662606621862,2.59433544905757e-11,5.09470885263,0.0257632313396541,1,2870.52897323356,-5735.05794646712,-5726.57300525521,8.27860899935117e-20,123,125,"FRic","sst_sd_6_year_mean"
0.0347890260417295,0.0269417823510119,2.60105954914943e-11,4.43327968556408,0.0372785862747616,1,2870.20541247212,-5734.41082494425,-5725.92588373234,8.32157825721236e-20,123,125,"FRic","sst_q90_6_year_mean"
0.0368104600688379,0.028979650801105,2.59833443195379e-11,4.70072234047584,0.0320753101872315,1,2870.33644300448,-5734.67288600897,-5726.18794479706,8.30415043894026e-20,123,125,"FRic","sst_mean_6_year_mean"
0.00175308989923095,-0.00636273863817371,0.0569656625102966,0.216008740346253,0.642919722577243,1,181.804095316374,-357.608190632747,-349.12324942084,0.399145664744153,123,125,"FEve","nutrint"
0.00877324631129431,0.000714492216264184,0.0567650040226342,1.08866038196957,0.29881457074262,1,182.245178407653,-358.490356815305,-350.005415603398,0.39633867884783,123,125,"FEve","crypto5LR"
0.0164817560984596,0.00848567281470725,0.0565438499651894,2.06122866828435,0.15362654696666,1,182.733124253205,-359.466248506409,-350.981307294502,0.39325645717296,123,125,"FEve","crypto5BRout"
0.0100980134174335,0.0020500297866809,0.0567270583392528,1.25472588920875,0.264834220351227,1,182.32876505681,-358.657530113621,-350.172588901714,0.395808975182474,123,125,"FEve","sst_sd_6_year_mean"
0.028235370225333,0.0203348447800106,0.056204968544108,3.57385979207873,0.0610485909369945,1,183.484534436549,-360.969068873098,-352.484127661191,0.388556814152433,123,125,"FEve","sst_q90_6_year_mean"
0.0233676936419877,0.0154275935902966,0.0563455611570859,2.94299737910867,0.0887684906452507,1,183.172246510235,-360.344493020469,-351.859551808562,0.390503138239149,123,125,"FEve","sst_mean_6_year_mean"
0.00168730132683823,-0.00642906207700844,0.0413899539104436,0.207888834307063,0.649231150352645,1,221.730405565708,-437.460811131416,-428.975869919509,0.210714779019164,123,125,"FDiv","nutrint"
0.0166857757369373,0.00869135114943276,0.0410778595675292,2.08717657591235,0.151083062742381,1,222.676519630398,-439.353039260795,-430.868098048888,0.207549037237907,123,125,"FDiv","crypto5LR"
0.0109378986719002,0.00289674337654988,0.0411977431434345,1.36023970065903,0.245752349050717,1,222.31224499491,-438.624489989819,-430.139548777913,0.208762246933825,123,125,"FDiv","crypto5BRout"
0.0356214637839962,0.0277809878798011,0.0406804185886093,4.54327826770521,0.0350376995203785,1,223.891821978271,-441.783643956541,-433.298702744634,0.203552264154969,123,125,"FDiv","sst_sd_6_year_mean"
0.0271533629820543,0.019244040729876,0.0408586333410832,3.43308340668198,0.0662994803647053,1,223.345411908387,-440.690823816774,-432.205882604867,0.205339633975633,123,125,"FDiv","sst_q90_6_year_mean"
0.0302972712741471,0.0224135092519857,0.0407925593369043,3.84299667962844,0.0522148500076672,1,223.547717644637,-441.095435289274,-432.610494077367,0.204676046362347,123,125,"FDiv","sst_mean_6_year_mean"
0.00168929321619717,-0.00642705399342725,0.0409330145015285,0.208134666071702,0.649037898572087,1,223.118062347302,-440.236124694604,-431.751183482697,0.206087936170429,123,125,"FDis","nutrint"
0.0103941854821205,0.00234860975433293,0.040754163557433,1.29191319972557,0.257905256429806,1,223.66542863579,-441.33085727158,-432.845916059673,0.204290927213718,123,125,"FDis","crypto5LR"
0.00886973924802096,0.000811769648411453,0.0407855415174476,1.10074121506374,0.296160598852156,1,223.56922408877,-441.13844817754,-432.653506965633,0.204605628815187,123,125,"FDis","crypto5BRout"
0.0137614918343053,0.00574329258092576,0.0406847679002994,1.71628209769231,0.192613693286816,1,223.878458425989,-441.756916851978,-433.271975640071,0.203595791709452,123,125,"FDis","sst_sd_6_year_mean"
0.0105491571120415,0.00250484131620454,0.0407509723946794,1.31138028140327,0.254368222242721,1,223.675216861765,-441.350433723529,-432.865492511622,0.204258935386767,123,125,"FDis","sst_q90_6_year_mean"
0.01124252839444,0.00320384976350052,0.0407366914902547,1.39855427870563,0.239246758141177,1,223.7190299492,-441.438059898401,-432.953118686494,0.20411579812938,123,125,"FDis","sst_mean_6_year_mean"
0.0038588496770473,-0.00423985886216371,0.0122915755630519,0.476477164027346,0.491322807762622,1,373.495915324688,-740.991830649376,-732.506889437469,0.0185831880681325,123,125,"RaoQ","nutrint"
0.000121903182730493,-0.00800718703529602,0.0123146094284443,0.0149959195261689,0.90273630009184,1,373.261890097612,-740.523780195223,-732.038838983316,0.018652901461141,123,125,"RaoQ","crypto5LR"
0.0244202605501216,0.0164887179529681,0.0121640585258812,3.0788790769258,0.0818053118363551,1,374.799481942239,-743.598963884477,-735.114022672571,0.0181996113379908,123,125,"RaoQ","crypto5BRout"
0.00161718560971531,-0.00649974784061214,0.0123053979512708,0.199236031638285,0.656123035161575,1,373.355426600884,-740.710853201767,-732.22591198986,0.0186250067049143,123,125,"RaoQ","sst_sd_6_year_mean"
0.000712528314788546,-0.00741176007289601,0.0123109717888949,0.0877034739274697,0.767616697729125,1,373.298819577,-740.597639153999,-732.112697942092,0.0186418832455967,123,125,"RaoQ","sst_q90_6_year_mean"
0.000875948834774776,-0.00724701093079605,0.0123099650977631,0.107836165640937,0.743179589959926,1,373.30904147815,-740.618082956299,-732.133141744392,0.0186388346071019,123,125,"RaoQ","sst_mean_6_year_mean"
